<b>Time (h)</b>,<b>Drug release (%) of FH5</b>,<b>Drug release (%) of FH9</b>,<b>Drug release (%) of FH11</b>,<b>Drug release (%) of FH12</b>
0.5,9.41,9.71,11.31,14.61
1,24.81,27.71,26.1,23.11
1.5,55.99,35.21,40.1,40.11
2,69.61,54.22,50.71,50.21
3,77.66,70.45,76.61,57.6
4,88.55,80.21,79.81,79.8
